iter	Passed	Remaining
0	213	213029
1	447	223501
2	694	230805
3	1011	251772
4	1282	255226
5	1547	256378
6	1779	252470
7	2057	255114
8	2238	246468
9	2426	240217
10	2679	240878
11	2888	237854
12	3098	235226
13	3299	232370
14	3486	228944
15	3678	226223
16	3882	224511
17	4078	222508
18	4292	221617
19	4477	219378
20	4673	217870
21	4856	215896
22	5085	216034
23	5269	214297
24	5455	212777
25	5638	211240
26	5826	209959
27	6024	209119
28	6210	207949
29	6399	206913
30	6621	206976
31	6812	206079
32	7043	206410
33	7215	204992
34	7398	203982
35	7612	203838
36	7825	203682
37	8054	203900
38	8265	203667
39	8459	203039
40	8672	202851
41	8865	202210
42	9084	202177
43	9272	201459
44	9470	200974
45	9662	200382
46	9844	199614
47	10052	199372
48	10235	198656
49	10421	198014
50	10609	197415
51	10809	197057
52	10997	196502
53	11202	196245
54	11381	195562
55	11566	194982
56	11757	194506
57	11952	194123
58	12138	193596
59	12341	193344
60	12500	192429
61	12698	192113
62	12896	191813
63	13104	191659
64	13271	190909
65	13470	190634
66	13661	190237
67	13864	190020
68	14071	189865
69	14246	189270
70	14408	188528
71	14574	187844
72	14805	188009
73	15004	187754
74	15201	187486
75	15363	186786
76	15580	186760
77	15814	186934
78	16052	187143
79	16262	187023
80	16456	186712
81	16660	186516
82	16825	185889
83	17071	186161
84	17334	186602
85	17572	186755
86	17874	187576
87	18125	187842
88	18355	187886
89	18616	188234
90	18920	188996
91	19140	188906
92	19421	189413
93	19651	189409
94	19836	188969
95	20290	191073
96	20520	191029
97	20729	190792
98	20926	190450
99	21093	189837
100	21292	189526
101	21525	189506
102	21864	190412
103	22156	190886
104	22408	191007
105	22662	191132
106	22936	191424
107	23159	191277
108	23368	191020
109	23566	190675
110	23745	190181
111	23912	189593
112	24094	189129
113	24300	188862
114	24559	189004
115	24714	188344
116	24867	187676
117	25054	187268
118	25257	186990
119	25416	186388
120	25566	185727
121	25713	185054
122	25854	184347
123	25999	183675
124	26146	183028
125	26339	182704
126	26538	182425
127	26750	182237
128	26960	182032
129	27137	181612
130	27320	181232
131	27503	180853
132	27725	180737
133	27946	180609
134	28179	180557
135	28356	180145
136	28570	179975
137	28816	179998
138	29042	179894
139	29277	179849
140	29488	179651
141	29708	179506
142	29890	179135
143	30091	178878
144	30292	178621
145	30505	178437
146	30721	178266
147	30963	178251
148	31197	178180
149	31429	178098
150	31648	177942
151	31840	177638
152	32060	177485
153	32271	177283
154	32465	176989
155	32669	176749
156	32911	176713
157	33129	176551
158	33333	176310
159	33534	176056
160	33765	175955
161	33976	175754
162	34189	175560
163	34433	175526
164	34653	175367
165	34878	175234
166	35113	175146
167	35349	175065
168	35577	174939
169	35793	174758
170	35989	174476
171	36223	174377
172	36479	174383
173	36772	174565
174	37012	174488
175	37226	174288
176	37462	174189
177	37716	174176
178	37899	173827
179	38137	173739
180	38358	173565
181	38582	173408
182	38873	173552
183	39082	173320
184	39239	172865
185	39445	172628
186	39654	172401
187	39847	172106
188	40016	171710
189	40213	171434
190	40374	171011
191	40572	170742
192	40738	170343
193	40933	170065
194	41177	169987
195	41411	169872
196	41618	169644
197	41834	169449
198	42054	169273
199	42221	168885
200	42410	168586
201	42629	168407
202	42875	168335
203	43096	168161
204	43346	168098
205	43615	168110
206	43912	168224
207	44160	168149
208	44400	168041
209	44628	167889
210	44809	167558
211	44994	167243
212	45183	166946
213	45366	166625
214	45547	166300
215	45739	166015
216	46003	165994
217	46166	165606
218	46336	165244
219	46496	164850
220	46663	164482
221	46818	164076
222	46992	163736
223	47148	163334
224	47307	162948
225	47486	162631
226	47657	162288
227	47811	161888
228	47977	161532
229	48141	161170
230	48306	160811
231	48458	160415
232	48619	160049
233	48777	159674
234	48944	159328
235	49103	158961
236	49263	158597
237	49428	158253
238	49596	157919
239	49751	157546
240	49910	157186
241	50073	156840
242	50242	156516
243	50393	156137
244	50555	155792
245	50718	155452
246	50887	155136
247	51047	154789
248	51210	154452
249	51367	154102
250	51533	153778
251	51693	153440
252	51855	153106
253	52023	152792
254	52188	152473
255	52342	152119
256	52504	151793
257	52666	151468
258	52838	151172
259	53007	150866
260	53167	150540
261	53326	150208
262	53495	149909
263	53651	149572
264	53812	149252
265	53982	148958
266	54150	148659
267	54302	148319
268	54463	148001
269	54624	147689
270	54797	147407
271	54958	147093
272	55115	146773
273	55278	146466
274	55455	146200
275	55607	145868
276	55764	145551
277	55931	145261
278	56108	144995
279	56261	144672
280	56420	144363
281	56584	144070
282	56768	143826
283	56927	143520
284	57089	143223
285	57249	142923
286	57421	142654
287	57577	142344
288	57738	142048
289	57915	141792
290	58092	141537
291	58244	141223
292	58402	140922
293	58564	140635
294	58737	140373
295	58892	140067
296	59066	139809
297	59228	139525
298	59404	139273
299	59558	138970
